YearMonth,Other,China Only,US Only,US-China Collaboration,US-Non China,China-Non US
2013-07,0.7199999998672,0.0400000000304,0.199999999992,3.9999999990400004e-11,0.0400000000304,3.9999999990400004e-11
2013-08,0.5789473682908587,0.10526315791412742,0.21052631577562328,0.0526315789833795,0.0526315789833795,5.2631578930747926e-11
2013-09,0.5555555554691358,0.07407407409465021,0.2962962962674897,3.703703702880659e-11,0.07407407409465021,3.703703702880659e-11
2013-10,0.49999999993333333,0.10000000001333334,0.23333333332,0.03333333336,0.10000000001333334,0.03333333336
2013-11,0.5714285713129251,4.761904760544218e-11,0.38095238089115646,0.04761904765306123,4.761904760544218e-11,4.761904760544218e-11
2013-12,0.5909090907933884,0.09090909092975206,0.22727272725619835,4.5454545442148764e-11,0.09090909092975206,4.5454545442148764e-11
2014-01,0.6923076921863905,0.15384615384911243,0.1153846153964497,0.03846153849112426,3.8461538452662723e-11,3.8461538452662723e-11
2014-02,0.5652173912003781,4.3478260858223065e-11,0.34782608690926275,4.3478260858223065e-11,0.08695652175992438,4.3478260858223065e-11
2014-03,0.48275862062425684,0.1724137931022592,0.2413793103293698,0.03448275864803805,0.03448275864803805,0.03448275864803805
2014-04,0.4761904761020408,0.09523809525850341,0.3333333332857143,4.761904760544218e-11,0.04761904765306123,0.04761904765306123
2014-05,0.5937499999199218,0.18749999999609376,0.21874999999023437,3.124999999414063e-11,3.124999999414063e-11,3.124999999414063e-11
2014-06,0.6190476189183673,0.09523809525850341,0.19047619046938777,4.761904760544218e-11,4.761904760544218e-11,0.09523809525850341
2014-07,0.42857142845918367,0.21428571426530613,0.14285714286734694,0.14285714286734694,0.07142857146938776,7.142857139795919e-11
2014-08,0.3333333332962963,0.18518518518106997,0.3333333332962963,0.037037037065843624,0.11111111112345678,3.703703702880659e-11
2014-09,0.4999999999,0.19999999999,0.249999999975,4.9999999985e-11,0.050000000035000006,4.9999999985e-11
2014-10,0.4090909090247934,0.18181818181404957,0.3636363635826446,0.04545454548760331,4.5454545442148764e-11,4.5454545442148764e-11
2014-11,0.5999999998266666,0.19999999998666668,0.13333333334666667,0.06666666670666667,6.666666664000001e-11,6.666666664000001e-11
2014-12,0.5714285713418368,0.17857142856887756,0.21428571427551021,3.571428570663265e-11,0.03571428574234694,3.571428570663265e-11
2015-01,0.6428571427551021,0.0714285714489796,0.24999999998214287,3.571428570663265e-11,0.03571428574234694,3.571428570663265e-11
2015-02,0.4347826086257089,0.13043478261814745,0.2608695651928166,0.08695652175992438,0.04347826090170132,0.04347826090170132
2015-03,0.49999999993333333,0.16666666666666666,0.26666666664666666,0.06666666668666667,3.3333333326666666e-11,3.3333333326666666e-11
2015-04,0.6666666665416666,4.166666665625e-11,0.24999999997916666,4.166666665625e-11,0.08333333335416666,4.166666665625e-11
2015-05,0.46874999994335936,0.1250000000078125,0.31249999997265626,0.03125000002539063,0.06250000001953125,3.124999999414063e-11
2015-06,0.5555555554691358,3.703703702880659e-11,0.3333333332962963,0.07407407409465021,3.703703702880659e-11,0.037037037065843624
2015-07,0.7272727271198347,0.09090909092975206,0.09090909092975206,4.5454545442148764e-11,0.09090909092975206,4.5454545442148764e-11
2015-08,0.43333333328,0.13333333334,0.3333333333,0.03333333336,0.03333333336,0.03333333336
2015-09,0.5882352939688581,0.11764705884083045,0.23529411762283736,0.058823529449826994,5.882352939100347e-11,5.882352939100347e-11
2015-10,0.5999999999257143,0.05714285716163266,0.2571428571273469,0.028571428595102043,0.05714285716163266,2.8571428566530614e-11
2015-11,0.6451612902299688,0.032258064542143604,0.2903225806212279,3.2258064509885536e-11,3.2258064509885536e-11,0.032258064542143604
2015-12,0.5862068964649227,0.1724137931022592,0.13793103448870392,0.03448275864803805,0.06896551726159335,3.4482758613555296e-11
2016-01,0.5416666665729166,0.08333333335416666,0.2916666666354167,0.04166666669791667,0.04166666669791667,4.166666665625e-11
2016-02,0.45833333326041664,0.20833333332291668,0.24999999997916666,0.04166666669791667,0.04166666669791667,4.166666665625e-11
